osmid,y,x,highway,street_count,railway,geometry
195720453,-34.6199471,-58.3873171,traffic_signals,4,,POINT (-58.3873171 -34.6199471)
195720468,-34.6200398,-58.3888432,traffic_signals,4,,POINT (-58.3888432 -34.6200398)
195720489,-34.6213812,-58.3887565,,4,,POINT (-58.3887565 -34.6213812)
195720509,-34.6214621,-58.3900432,traffic_signals,4,,POINT (-58.3900432 -34.6214621)
195720531,-34.6064228,-58.3863831,traffic_signals,4,,POINT (-58.3863831 -34.6064228)
195720551,-34.6065064,-58.3878203,traffic_signals,4,,POINT (-58.3878203 -34.6065064)
195720555,-34.6066263,-58.3893196,traffic_signals,4,,POINT (-58.3893196 -34.6066263)
195720567,-34.6066932,-58.3907328,traffic_signals,4,,POINT (-58.3907328 -34.6066932)
195720589,-34.6079032,-58.3906799,traffic_signals,4,,POINT (-58.3906799 -34.6079032)
195720609,-34.6115957,-58.3933316,traffic_signals,4,,POINT (-58.3933316 -34.6115957)
195720624,-34.6127705,-58.3932881,traffic_signals,4,,POINT (-58.3932881 -34.6127705)
195720636,-34.6154329,-58.3844799,traffic_signals,4,,POINT (-58.3844799 -34.6154329)
